solve_id,date,total_time,scramble,solution,turns,tps,move_times,analysis_type,device_name,session_name,raw_solution,raw_timestamps,gyro_data,cross_face,cross_moves,cross_time,cross_execution_time,f2l_pair1_moves,f2l_pair1_time,f2l_pair1_recognition_time,f2l_pair1_execution_time,f2l_pair2_moves,f2l_pair2_time,f2l_pair2_recognition_time,f2l_pair2_execution_time,f2l_pair3_moves,f2l_pair3_time,f2l_pair3_recognition_time,f2l_pair3_execution_time,f2l_pair4_moves,f2l_pair4_time,f2l_pair4_recognition_time,f2l_pair4_execution_time,oll_case_id,oll_moves,oll_time,oll_recognition_time,oll_execution_time,pll_case_name,pll_moves,pll_time,pll_recognition_time,pll_execution_time
288828,2026-03-17T21:02:32.341Z,20100,L2 U' R2 D F2 D L2 U2 B2 U' B' D L' U' F2 D' F R' F2 D' R2,z2' L' F' D B B' D2 B D' L D' F' U F U L U' L' U2' B U2' B' U F U F' F' U' F B U2' B' U2 B U' B' U F' U' F U' F' U' F U L U F U' F' L' U' R B U B' U' R' U B U' B' U' B U B D B' U' B D' B' U2' B' U,75,3.731343283582089,"0 0 450 689 932 1320 2070 2310 2732 2940 3090 4650 4770 4980 5311 5761 5880 6002 6900 7019 7289 7411 7680 7890 8011 8070 9900 10050 10139 10380 10532 10620 10889 10919 11039 11132 12782 12900 13080 13440 13532 13710 13830 13923 14820 15390 15990 16080 16140 16231 16380 16590 16740 16950 17070 17130 17220 17370 18120 18270 18360 18481 18540 18663 18749 18900 19020 19140 19320 19410 19779 19713 19920 20009 20100",CFOP,GANicV2S_BC8F,Default Session,,,,U,"z2' L' F' D B B' D2 B D' L D'",3090,3090,"F' U F U L U' L'",2912,1560,1352,"U2' B U2' B' U F U F'",2068,898,1170,"F' U' F B U2' B' U2 B U' B'",3062,1830,1232,"U F' U' F U' F' U' F",2791,1650,1141,2,"U L U F U' F' L' U' R B U B' U' R'",3447,897,2550,Ra,"U B U' B' U' B U B D B' U' B D' B' U2' B' U",2730,750,1980
288517,2026-03-17T19:06:03.006Z,39184,D F2 U' B2 U' F2 D L2 B2 U' F2 R D L B2 U L' B D L2 F2,y2' x' D2 B L' F B L' B L B2' M' R' U' R L' D L B R2' M L' D' U' U L R2 R' B R' B' R B' R' B' U' B' U B' R B R' L U R' U' L' U R U' B' R R' B' B' R B R' U' R B R' B' R' U R2 B' R' B2' M' B M' B M B' M' B' M' B2 M B2' M' R' L U M U2' M',88,2.245814618211515,"0 0 0 237 416 867 3117 4046 4107 4256 5307 5459 5847 6656 6777 7827 8068 8307 8487 8639 12003 13017 13107 13857 14127 14368 16527 17038 17607 17970 18240 18747 18869 18987 20039 20457 20669 20817 21027 21117 21207 21239 22617 22827 22948 23127 23190 23307 23517 23609 24447 24807 25317 25827 28288 28377 28470 28617 28771 28827 28947 29039 29105 29187 29277 29372 29428 29517 30809 30957 31047 31347 31497 31647 32342 32526 34047 34287 34587 35128 36147 36327 36509 37287 38127 38590 39027 39184",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288514,2026-03-17T19:04:45.428Z,27871,D2 L2 F2 D R2 D' L2 F2 L2 U2 B2 L' D' L2 D B' D2 L' B' R2 U2 F2,y' x R F2' R F' F2' L' F L F' M2' F2 R U R' F' R2 F L' U' L F' M F' M' L D L' F2' D R' D' R F R F' R' F' M' F M' F M' M F2' R L' U2 M' M2' U2' M2' U' M2' U' M' U2' R R' M U' M2' U2',64,2.2962936385490296,"0 0 0 152 300 1142 1862 2040 2130 2250 4801 5169 5820 6064 6180 6270 6690 6961 8312 8821 9001 9061 10201 11113 11280 11491 11791 11944 12002 13051 13441 13503 13621 13711 13802 13891 13981 14041 15365 16005 16321 16503 18391 18633 19364 19981 21361 21616 22233 22567 23407 23701 23827 24571 25031 25232 25330 25621 26134 26371 26851 27091 27548 27871",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288513,2026-03-17T19:03:44.421Z,33721,U2 F2 U2 F2 R2 D L2 U' B2 R2 B U' F' D B' R U2 F2 R' F2 D,y' x' L' B2' R B R' M' L B' L' B' R' R B2' R' B R' U' R R' R' B R B2' M2' L' D' L R B R' B' L U L' B2 R B R' B' R' U R U' B2' R B R' U' R B R' B' R' U R2 B' R' M' B' M' B M' B2 B2' M' B M' B M B' M' M B2' M' M' R' L U M2' U2' M2' U M2' U2',86,2.5503395510216187,"0 0 0 362 660 810 1170 1289 1830 2070 2400 3150 5791 6420 6600 6720 7110 7350 7500 7621 8880 10020 10290 10440 12510 12815 13231 13350 13410 15181 15301 15422 15540 15723 15872 15960 16771 16922 17280 17371 17461 17610 17851 18060 18122 18871 18960 19080 19170 19322 19380 19471 19560 19622 19710 19770 19926 19983 20040 20820 21750 21938 23070 23700 24421 25050 26288 26460 26790 27181 27420 27630 27757 30524 30841 30933 31896 32013 32221 32162 32650 32881 33096 33181 33457 33721",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288311,2026-03-17T17:17:47.414Z,52530,D L2 D R2 D' F2 L2 D2 L2 D F2 R B' D' R2 U B R' U R D' R2,y S2 U' E' U D D R F R' R F R' R F L' F R' D' R F2 R2 R F2' R' F' L F' L' L' U' R2 R' U2' R U L F L' M U2' M' U2' L' B' L U' R U2' R' U' R U' R' U R U R' F' R U R' U' R' F R2 U' R' M2' U M' U M' U M U' M' M2' U' M' U2 M U M2' U M U2' M' U2 M2' U2' M2' U2',93,1.770416904625928,"0 0 718 1318 3028 3928 4444 4712 4918 4981 6570 6959 7082 7500 8249 8728 9301 10289 10438 10589 16858 17369 18183 18451 18599 19048 19229 19446 19652 21929 22261 22951 24359 24602 24720 25114 25291 25415 25517 31291 31709 31929 32399 32521 32759 32881 35399 35524 36120 36239 36359 36509 36599 36720 37289 37739 37859 38009 38189 38219 38339 38429 38489 38549 38639 38788 38849 38909 40839 41129 41553 41669 41950 42990 43410 43652 43799 46722 46985 47140 47491 47819 48299 48876 49920 50223 50553 50650 51154 51792 52052 52175 52530",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288307,2026-03-17T17:16:13.881Z,64144,R2 U2 L2 U R2 U' F2 D' B2 R2 D2 L F' L2 D2 R D' F D' L2 B' R,y R' L' D2' L U2 R F B B' R' D R L' L2 M B' M' L' B L L U' R2' U' M' U2 R U' R' R' U' R U M' L' B' L U R U2' R' U' R U' R' U2' U F R U' R' U' R U R' F' R U R' U' R' F R F' U M' U M' U M2' U' M2' M2' U2 M2' U R U R' U2' L' B' B L L' B' R B2' L U L' B R B2' R2' B' R2 B' R2' B2' R M' U R B' R' B' R B R' U' R B R' B' R' U R U' M2' B' M B2 M' B2 M' L R' U M U2' M' M2',134,2.089049638313794,"0 0 360 569 689 1229 1620 1680 1770 2340 2519 3930 4800 5760 6481 7784 7951 8110 8370 8460 8581 10020 10230 10530 11582 13290 13681 13740 13860 13954 15183 15300 15360 16383 16770 17190 17370 17400 18184 18450 18600 18690 18900 18990 19116 19172 20221 20551 21541 21690 21753 21810 21900 21990 22116 22173 22260 22322 22417 22508 22590 22770 22800 23016 23070 24660 25084 25290 25603 26610 26942 27540 27815 28656 28950 29224 30960 33840 34053 34230 34500 34685 35252 35886 36123 37141 39153 40441 41191 41310 41461 41521 42391 42691 43087 43625 43680 43860 43951 44190 44370 44430 45225 50401 50527 50640 50670 50760 50851 50940 51030 51121 51180 51571 51631 51755 52592 52681 52893 52955 57008 57811 58024 58323 58594 59223 59714 59793 60123 61771 62415 62823 63241 64144",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288303,2026-03-17T17:14:24.074Z,34172,D' R2 F2 U L2 B2 D B2 D' B2 L2 R' U' F L' B2 U B U B2 D2 R2,y2' x B' R' F R F2 R U R' M' F2' M M' F2 M L' F' L F' L' U' R2 U' R' U R U M' R' U R U2' R U R' U' R U R' R U R' U R U' R' U R U2' R' U' U R U R' F' R U R' U' R' F R2 U' R' M2' U M U' M U' M' U M' U' M' U2 M U M2' U M U2' M',85,2.487416598384643,"0 0 0 359 447 537 961 1228 1407 1529 3875 4259 4468 6186 6929 7595 8368 8457 8547 11098 11368 11608 11908 12838 13048 13258 13378 13948 14225 14460 14578 14728 16588 16648 16768 16888 16978 17008 17158 17248 19408 19589 19679 19739 19859 20011 20132 20460 20581 20758 20848 21600 22139 22200 22500 22618 22771 22859 22949 23039 23134 23218 23278 23401 23488 23548 25533 25833 26350 26908 27034 28259 28379 28473 28750 30509 30748 31109 31439 31889 32468 33449 33780 34049 34172",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288301,2026-03-17T17:13:28.788Z,37172,F2 R2 U F2 U2 L2 B2 R2 U F2 D' R F' U R2 B' D L' B2 L2 U,y x B' L2 F' F2 L' S L' F' L L R' D R D2 R F R' L2' U' R2 U2' R U R' U M' R' U R U L F L' F R' F' R U R U' R' U' F R U' R' U' R U R' F' R U U' U R' U' R' F R F' U' M M' M U M' U M2' U U2' M2' U' M' U2' M' M2 U2' U2' M2' U2' M2',84,2.2597654148283657,"0 0 0 481 815 1471 1650 2492 3151 3240 3330 5193 7620 8041 8131 8641 8852 9001 9030 10621 11015 11282 13261 13352 13471 13561 13951 14473 14641 14821 14971 15661 16021 16171 16263 18541 18661 18816 18901 18962 19053 19171 19411 20221 21601 21753 21811 21871 21931 22022 22111 22201 22263 22354 22470 22684 22801 23281 23461 23521 23610 23821 23854 26731 27001 27302 27455 27691 27879 29371 30152 30424 31111 31481 32461 32624 32941 33644 34934 35161 35971 36311 36786 37172",Roux,GANicV2S_BC8F,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287933,2026-03-17T15:10:40.466Z,16107,R2 U2 R2 B2 D R2 D R2 D F2 U F' D' F' D2 R' F' L2 F2 L D B2,x2' D2' R' B' D' L' D' R U2' R U R' U2 L' U' L U R' U' R U B' U B U' R U R' U B U' B' R U' R' U' R U R' U3' R U R' U R' F R F' R U2' R' R U R' U' R' F R2 U' R' U' R U R' F',65,4.035512510088782,"0 0 237 537 838 1137 1589 1768 5037 5157 5337 5458 5877 5998 6117 6298 6838 6990 7077 7227 7467 7800 7887 7977 8607 9001 9117 9298 9448 9900 9989 10137 11068 11189 11277 11367 11487 11607 11668 12777 12867 12987 13107 13227 13347 13407 13648 13737 13827 14007 14189 14817 14937 14998 15087 15177 15237 15418 15507 15539 15658 15748 15837 15927 16107",Roux,MG3iJc3,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287929,2026-03-17T15:10:01.886Z,16019,D' R2 D' R2 U' R2 B2 L2 B2 U F2 B' R2 D R F2 L' U2 F2 D' L2,z2' R' F D F' D2 L' D U' L U' L' R' U' R R' U' R L' U L U' F' U F B U' B' U' B U' B' U B U' B' U2' B U2' B2' U' B2 U' B2' U2' B U2' U B2' D' R U' R U R' D B2 L U' L',60,3.745552156813784,"0 0 149 329 1201 1499 1829 1980 3480 3959 4079 4170 4860 5250 5490 5849 6149 6329 6719 6869 7140 7529 7950 8010 8100 8700 8791 8910 8970 9150 9271 9391 9482 9570 9719 9870 10770 10890 11130 11279 11400 11580 11699 11849 12090 12179 13350 13860 14280 14342 14459 14639 14943 15089 15210 15330 15629 15780 15900 16019",Roux,MG3iJc3,Default Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
