solve_id,date,total_time,scramble,solution,turns,tps,move_times,analysis_type,device_name,session_name,raw_solution,raw_timestamps,gyro_data,cross_face,cross_moves,cross_time,cross_execution_time,f2l_pair1_moves,f2l_pair1_time,f2l_pair1_recognition_time,f2l_pair1_execution_time,f2l_pair2_moves,f2l_pair2_time,f2l_pair2_recognition_time,f2l_pair2_execution_time,f2l_pair3_moves,f2l_pair3_time,f2l_pair3_recognition_time,f2l_pair3_execution_time,f2l_pair4_moves,f2l_pair4_time,f2l_pair4_recognition_time,f2l_pair4_execution_time,oll_case_id,oll_moves,oll_time,oll_recognition_time,oll_execution_time,pll_case_name,pll_moves,pll_time,pll_recognition_time,pll_execution_time
70766,2025-10-16T07:19:23.369Z,16530,D R2 D2 F2 D' F2 R2 U' R2 F2 U' R D' R' D L F R B' U L U2,U R B R U L B' U' D F D' F' D F D F' F' D' F B D' B' B' D B F' D' F D F' D D F D' F' D F D D D L' D' L D' L' D L D D D' L' F F R F R' F L D' R F' R B' B' R' F R B' B' R' R' D',72,4.3557168784029034,"0 89 332 540 1052 1889 2281 2969 3360 4651 4804 4859 5160 5460 5609 5704 6572 6751 6840 7230 7319 7439 7530 7620 7770 8701 8851 8939 9029 9089 9329 9389 9509 9571 9660 9720 9812 10322 10559 10980 11250 11340 11400 11610 11700 11820 11850 12420 12511 12750 12930 13021 13110 13291 13440 13529 13622 13741 14430 14910 15060 15211 15329 15390 15570 15661 15841 16020 16110 16170 16260 16530",CFOP,B?_BBC8,Default Session,,,,U,"U R B R U L B' U'",2969,2969,"D F D' F' D F D F'",2735,391,2344,"F' D' F B D' B' B' D B",2066,868,1198,"F' D' F D F' D D F D' F' D F",2042,931,1111,"D D D L' D' L D' L' D L",2038,510,1528,4,"D D D' L' F F R F R' F L",1891,570,1321,Ab,"D' R F' R B' B' R' F R B' B' R' R' D'",2789,689,2100
70765,2025-10-16T07:18:50.788Z,22111,U' B2 U2 B2 L2 D B2 R2 U2 L2 D' L' F' U B' D L2 D' L F2 L2 U2,B' R R U' R U' U' B U' D D D L' D L D' D' L' D L R D' R' D' R D' R' F D' F' D' D' R D' R' D B' D' B F' D F D' D L' B D B' D' B' L B D' D' D' B R' B' B' L B B B' B R B' B' L' B B' D' B R R U F' D F D' F U' R' R' D',84,3.7990140653973135,"0 150 240 929 1140 1619 1740 1921 2076 2820 2969 3539 3661 3779 3929 3990 4079 4139 4199 4261 5039 5099 5160 5219 5340 5490 5640 5881 5940 6059 6929 7020 7111 7289 7409 7500 7861 7949 8009 8710 8940 9179 9810 11190 11490 11579 11669 11759 11850 11910 11969 12060 13771 13859 14309 15480 15629 15720 15839 15931 16050 16109 16289 16410 16559 16681 16749 17280 17341 19049 19139 19409 19620 19741 19830 19981 20101 20670 20941 21150 21329 21510 21660 22111",CFOP,B?_BBC8,Default Session,,,,U,"B' R R U' R U' U' B U'",2076,2076,"D D D L' D L D' D' L' D L R D' R' D' R D' R' F D' F'",3983,744,3239,"D' D' R D' R' D B' D' B",1950,870,1080,"F' D F",1170,701,469,"D' D L' B D B' D' B' L B",2881,631,2250,48,"D' D' D' B R' B' B' L B B B' B R B' B' L' B",5281,1711,3570,Gb,"B' D' B R R U F' D F D' F U' R' R' D'",4770,1708,3062
70764,2025-10-16T07:18:13.737Z,18841,F2 D2 L2 U R2 D R2 F2 D' B2 D' L U B R2 F U F2 D R B D',B' U B B F U U U R U' D B D B' D' R' D' R D L' D L D' D' R D R' D D F' D F D L' D L D' L L' D' L D L' D' L D L' D' L D L' D L D' D' L' D' D' L D L' F' L D L' D' L' F L L D' L' D D' D',75,3.980680430975001,"0 91 240 331 1440 3091 3091 3180 3420 3960 4800 5880 6331 6391 6721 7140 7261 8522 9001 9212 9330 9420 9660 9722 9811 9900 9990 10860 10981 11430 11492 11610 11791 12424 12512 12630 13021 13171 13350 13470 13531 13621 13710 13832 13891 14040 14071 14610 14732 14851 14941 15001 15091 15150 15210 15270 16080 16950 17100 17191 17344 17461 17520 17610 17701 17820 17881 17911 18030 18091 18153 18241 18391 18691 18841",CFOP,B?_BBC8,Default Session,,,,U,"B' U B B F U U U R U'",3960,3960,"D B D B' D' R' D' R",4562,840,3722,"D L' D L D' D' R D R'",1468,479,989,"D D F' D F D L' D L",2640,870,1770,"D' L L' D' L D L' D' L D L'",1441,391,1050,26,"D' L D L' D L D' D' L'",1199,539,660,Jb,"D' D' L D L' F' L D L' D' L' F L L D' L' D D' D'",3571,810,2761
69767,2025-10-15T07:57:09.044Z,15609,D' L2 D2 B2 D B2 R2 B2 D B2 U' B R D' F L2 B' L F2 L2 D' R2,D' R' B U' F' F' R F D F' D' F D' F' D F D' D L' D' L R' D' R D B' D B D' D' F D' F' D F D F' D' L B D B' D' B D B' D' L' D D B D B' D' B' L B B D' B' D' B D B' L' D' D',67,4.292395412902812,"0 209 567 809 989 2458 2517 2608 3838 4317 4558 4619 4831 4949 5037 5098 5757 6358 6840 6987 7200 7830 7980 8068 8520 8848 8951 9089 9778 9961 10409 10497 10588 10738 10917 11011 11037 12117 12359 12509 12628 12693 12751 12870 12985 13047 13137 13258 13917 13981 14101 14278 14341 14457 14520 14582 14698 14758 14821 14908 14969 15030 15149 15268 15391 15509 15609",CFOP,B?_BBC8,Default Session,,,,U,"D' R' B U' F' F' R F",2608,2608,"D F' D' F D' F' D F",2490,1230,1260,"D' D L' D' L",2102,659,1443,"R' D' R D B' D B",1889,630,1259,"D' D' F D' F' D F D F'",1948,689,1259,47,"D' L B D B' D' B D B' D' L'",2221,1080,1141,T,"D D B D B' D' B' L B B D' B' D' B D B' L' D' D'",2351,659,1692
69766,2025-10-15T07:56:38.822Z,15148,D2 R2 F2 U B2 D L2 D F2 R2 U B U R U F L' U L' U L2 B',U' U' D B R' U B D' D B' D B D' D' B' D B D' F' F D R' D' R D L D L' B D' B' D D F' D F D' F' D' F D D' D' F D' D' F' F' R F R' F D' D' F' D D' F' D' D' F D D F' R F D F' D' F' R' F F D',74,4.8851333509374175,"0 88 299 507 719 1297 1297 1771 2219 2398 2517 2608 2823 2997 3118 3178 3239 4377 4860 5369 5487 5908 6087 6179 6631 6778 6897 7017 7918 8010 8186 9357 9417 9780 9869 10041 10108 10167 10288 10328 10888 11129 11217 11308 11457 11517 11615 11697 11760 11937 12029 12117 12210 12240 12327 12777 13198 13349 13529 13617 13740 13857 13949 14054 14247 14367 14458 14517 14607 14817 14997 15056 15086 15148",CFOP,B?_BBC8,Default Session,,,,U,"U' U' D B R' U B",1297,1297,"D' D B' D B D' D' B' D B",1942,474,1468,"D' F' F D R' D' R",2940,1138,1802,"D L D L' B D' B'",2007,452,1555,"D D F' D F D' F' D' F",2142,1171,971,34,"D D' D' F D' D' F' F' R F R' F D' D' F'",1999,560,1439,Rb,"D D' F' D' D' F D D F' R F D F' D' F' R' F F D'",2821,450,2371
69765,2025-10-15T07:56:09.332Z,15929,D' R2 D' B2 U F2 U' F2 D' B2 U' B' L2 B2 U2 L F' R' U L' B L' D2,U R U B R D F D F' B D B' D F' F F D' D' F' L D' L' F D' D' F' R D R' D D F D F' D D F D' F' D D' L' D L D D L' D' F' D F D L B R' B L' L' B' R B L' L' B' B' D,66,4.143386276602423,"0 180 390 539 688 1714 1891 2042 2129 2552 2669 2730 3931 4348 4439 4530 4621 4680 4800 5131 5249 5340 5641 5791 5853 5938 6419 6511 6570 7349 7498 7888 8070 8340 8431 8549 8611 8668 8758 9688 9929 10230 10321 10440 10799 10860 11280 11491 11639 11700 11791 11911 12033 13649 13800 13920 14308 14430 14549 14760 14881 15067 15149 15244 15329 15929",CFOP,B?_BBC8,Default Session,,,,U,"U R U B R",688,688,"D F D F' B D B'",2042,1026,1016,"D F' F F D' D' F' L D' L'",2610,1201,1409,"F D' D' F' R D R'",1230,301,929,"D D F D F' D D F D' F'",2188,779,1409,41,"D D' L' D L D D L' D' F' D F D L",3275,930,2345,Ab,"B R' B L' L' B' R B L' L' B' B' D",3896,1616,2280
69764,2025-10-15T07:55:34.831Z,18538,R2 U' R2 D L2 D F2 U2 L2 B2 U' F U B R U' F R' B2 L B2,U R' F' D B U' D L U D L' D L D F' D F D' L D' L' D R D' D' R' R' D' R R D R' D' D' R D R' D D' D' L B L' D R D' R' D R D' R' L B' L' R D R' D' R' B R R D' R' D' R D R' B' D',70,3.77602761894487,"0 118 269 661 1050 1531 1829 2158 2667 3211 4048 4138 4260 8127 8253 8398 8490 8577 9000 9058 9178 9750 9868 10032 10078 10138 10197 10408 10530 11608 11668 11758 11849 11878 11968 12132 12150 12900 13167 13499 13677 13799 13918 14099 14189 14367 14458 14550 14642 14700 14791 15058 15091 15688 16347 16470 16528 16648 16711 16769 16861 16918 17098 17427 17517 17608 17698 17848 18001 18538",CFOP,B?_BBC8,Default Session,,,,U,"U R' F' D B U' D L U",2667,2667,"D L' D L",1593,544,1049,"D F' D F D' L D' L'",4918,3867,1051,"D R D' D' R' R' D' R",1352,572,780,"R D R' D' D' R D R'",1620,1078,542,55,"D D' D' L B L' D R D' R' D R D' R' L B' L'",3538,750,2788,T,"R D R' D' R' B R R D' R' D' R D R' B' D'",2850,659,2191
69763,2025-10-15T07:54:47.762Z,14159,B2 U' L2 U2 F2 R2 U2 R2 D2 R2 F2 B D R D2 L U F R2 U R2 B' U2,U' B U' U' B D D B R' U' U' D' B' D B F D' F' D' L D L' D B' U' B D' B' U B D B D' B' D R D F D' F' R' D' L B D B' D' L' D B D' B' D' B D B U B' D' B U' B' D' D' B',65,4.590719683593474,"0 180 365 510 872 990 1082 1199 1320 2489 2791 3029 3122 3481 3630 4382 4470 4534 6093 6241 6419 6480 7020 7561 7710 7800 7859 7951 8015 8132 8369 8470 8522 8609 9212 9719 9902 10024 10109 10172 10350 10531 10649 10859 10951 11040 11132 11249 11853 12119 12209 12332 12540 12633 12752 12900 13352 13442 13559 13709 13771 13921 14040 14099 14159",CFOP,B?_BBC8,Default Session,,,,U,"U' B U' U' B D D B R' U' U'",2791,2791,"D' B' D B",839,238,601,"F D' F'",904,752,152,"D' L D L'",1946,1559,387,"D B' U' B D' B' U B D B D' B'",2129,540,1589,2,"D R D F D' F' R' D' L B D B' D' L'",2640,603,2037,Ra,"D B D' B' D' B D B U B' D' B U' B' D' D' B'",2910,604,2306
69762,2025-10-15T07:54:11.194Z,21960,F2 R2 D' F2 R2 D R2 U2 L2 U2 B' U B2 L' B2 L' B2 D' R D F' U2,U U F L L' R F L L B' L' U' U' D' D' R D' D' R' B D B' D' F D' D' F' D D F D' F' B' B D' B' D' B D' L D D L' D' L D L' D R D' R' D' R D' R' D R D' R' D' R' B' D' B D' R D R' D R D D' R R' D' R' R' U' B D' B D B' U R R F D' F' D',90,4.098360655737705,"0 151 333 720 1051 1770 2311 3662 4141 5191 5340 5612 5733 5972 6300 6483 6600 6660 6720 7140 7236 7294 8192 8282 8430 8490 8610 8763 8850 8882 9003 9032 9993 10111 10802 11374 11583 11760 12394 12903 13027 13111 13289 13470 13562 14013 14130 14733 14850 14909 14971 15092 15123 15330 15420 15511 15570 15660 15720 16470 16742 16862 17012 17130 17342 17490 17580 17669 17761 17881 18632 19145 19296 19680 19862 20220 20372 20490 20610 20762 20882 20972 21060 21212 21275 21390 21479 21602 21754 21960",CFOP,B?_BBC8,Default Session,,,,U,"U U F L L' R F L L B' L' U' U'",5733,5733,"D' D' R D' D' R' B D B'",1561,239,1322,"D' F D' D' F' D D F D' F'",1738,898,840,"B' B D' B' D' B D' L D D L' D' L D L'",5098,961,4137,"D R D' R' D' R D' R' D R D' R'",1590,603,987,51,"D' R' B' D' B D' R D R' D R",2161,750,1411,Gc,"D D' R R' D' R' R' U' B D' B D B' U R R F D' F' D'",4079,751,3328
69761,2025-10-15T07:53:29.914Z,16441,U2 F2 U2 F2 L2 D' L2 U2 B2 R2 L U F U2 F' D B2 U B L D2,L F U R' L D' L' D' D' R' D R D' B' D' D' B D L D L' R D' R' D D D' D B D B' D' D L D B D' B' L' D' R F D F' D' R' D F' D' R' F D F' D' F' R F F D' F' D' F D F' D F D,67,4.075177908886321,"0 124 660 872 1292 1472 1560 1802 2489 3900 4050 4231 4748 4889 5012 5070 5220 5312 5703 5797 5850 6783 6844 6931 8103 9360 9484 9931 10172 10289 10320 11040 11250 11490 11730 11820 11910 12000 12239 12600 12749 12930 13050 13112 13203 13320 13862 14163 14290 14431 14490 14580 14672 14763 14823 14881 14982 15033 15120 15150 15212 15303 15392 15513 16171 16292 16441",CFOP,B?_BBC8,Default Session,,,,U,"L F U R'",872,872,"L D' L' D' D' R' D R",3359,420,2939,"D' B' D' D' B D L D L'",1619,517,1102,"R D' R'",1081,933,148,"D D D' D B D B'",3389,1172,2217,2,"D' D L D B D' B' L' D' R F D F' D' R'",3000,720,2280,F,"D F' D' R' F D F' D' F' R F F D' F' D' F D F' D F D",3121,542,2579
69760,2025-10-15T07:52:41.884Z,16740,D' F' U R' F' U' F' L2 U' D B' D2 F' D L F2 B' L R D',L' L' D D B U' L B' D' D' F D' F' D' L' D L D F D' F' D D R' D' R R' R' D' D' B R R B' D' D' R' D R' F' F F' D F D F' D' F D' D' F' D F D' F L' L' B' L' B L' F' D' B R' B' L B R B' L' B R B' L B R' B' L' D D,81,4.838709677419355,"0 60 181 271 632 1200 1352 1473 2222 4234 4383 4502 4623 4890 5191 5284 5400 5672 6093 6180 6271 6451 6602 6941 7053 7083 7381 7440 7532 7590 7773 7983 8040 8073 8280 8340 8523 8581 8694 9421 9542 9632 9781 9964 10080 10172 10230 10440 10683 10745 10801 10890 10980 11640 11881 12150 12243 12361 12603 12720 12780 12901 13621 14885 14970 15060 15332 15480 15572 15663 15723 15871 15930 16020 16082 16201 16233 16332 16410 16622 16740",CFOP,B?_BBC8,Daily Scramble,,,,U,"L' L' D D B U' L B'",1473,1473,"D' D' F D' F' D' L' D L",3927,749,3178,"D F D' F' D D R' D' R",1683,272,1411,"R' R' D' D' B R R B' D' D' R' D R'",1611,298,1313,"F' F F' D F D F' D' F D' D' F' D F",2286,727,1559,5,"D' F L' L' B' L' B L' F'",1921,660,1261,E,"D' B R' B' L B R B' L' B R B' L B R' B' L' D D",3839,720,3119
69759,2025-10-15T07:51:38.016Z,15001,D L2 U' L2 D B2 D' F2 R2 U2 L2 F U' L' U R' B L' D' R' U F,L R U' B R U' U' D R D R' D F D F' D F' D' F B D' D' B' D R D' R' D F' D D F D L' D L D D F' L D L' D' L' F L D B D R D' R' D R D' R' B' L D L' D' L' F L L D' L' D' L D L' F' D',73,4.8663422438504105,"0 269 480 661 873 1141 1292 1801 1893 2042 2130 2401 2762 2909 2982 4025 4230 4352 4442 4619 4742 4771 4864 4979 5340 5402 5551 6659 6782 6990 7080 7229 7589 8040 8101 8221 9632 9720 10051 10112 10291 10380 10469 10559 10619 10769 11399 11672 11911 11999 12061 12179 12244 12366 12420 12541 12719 13620 13769 13829 13949 14048 14163 14249 14310 14372 14429 14520 14551 14672 14789 14970 15001",CFOP,B?_BBC8,Default Session,,,,U,"L R U' B R U' U'",1292,1292,"D R D R' D F D F'",1690,509,1181,"D F' D' F B D' D' B' D R D' R'",2569,1043,1526,"D F' D D F D L' D L",2670,1108,1562,"D D F' L D L' D' L' F L",2548,1411,1137,50,"D B D R D' R' D R D' R' B'",1950,630,1320,T,"L D L' D' L' F L L D' L' D' L D L' F' D'",2282,901,1381
69758,2025-10-15T07:51:00.846Z,17220,F2 U2 R2 B2 L2 U B2 L2 U F2 U L' B' R2 F' D2 R2 D' F2 L' U2 R,U F' U B' R' B' U D' B D' B' D D B D' B' F' D F R' D' R D' L D' D' L' D' L D L' B' D B D B' D' B D' D' B' D B D D R F' R' F D F D F' D' F D' F' D' B B L' L' B' R' B L' L' B' R B' D,71,4.123112659698026,"0 152 510 781 964 1112 1530 2100 2220 2587 2642 2970 3511 3599 3662 3751 5820 5970 6062 6780 6961 7051 7650 7831 7950 8011 8100 8312 8431 8579 8670 10202 10319 10440 10561 10682 10774 10979 11069 11130 11190 11280 11369 11939 12240 12690 13110 13769 13832 13949 14041 14191 14283 14402 14523 14552 14642 15362 15872 15931 16050 16110 16201 16349 16500 16649 16719 16920 17010 17129 17220",CFOP,B?_BBC8,Default Session,,,,U,"U F' U B' R' B' U",1530,1530,"D' B D' B' D D B D' B'",2221,570,1651,"F' D F R' D' R",3300,2069,1231,"D' L D' D' L' D' L D L'",1619,599,1020,"B' D B D B' D' B D' D' B' D B",2699,1532,1167,30,"D D R F' R' F D F D F' D' F D' F'",3273,570,2703,Aa,"D' B B L' L' B' R' B L' L' B' R B' D",2578,720,1858
69757,2025-10-15T07:50:25.265Z,18239,L2 U L2 U R2 U L2 D2 F2 R2 U R' D' F' D B2 U' F' U2 B' D F R2,U B' R' U F' U U F U' D' L D' D' L' D' F D' F' B D B' B' D' B F' D' F D' B D' B' D D F' D' F D' D' D' B D' B' D B D B' D R' D L R L' D D R' D' B' D B D R L B D' B' D' B D B' L' B D B' D' B' L B L' D',79,4.3313778167662695,"0 450 601 1352 1563 1921 2910 3059 3419 4020 4110 4320 4380 4442 4741 5101 5220 5342 5741 5969 6150 6244 6419 6570 7202 7352 7470 8014 8550 9242 9392 9633 9720 9870 9991 10139 10711 11221 11281 11460 11549 11670 11790 11849 12032 12120 12751 13349 13410 13592 14070 14159 14490 14549 14881 15059 15182 15270 15360 15422 15571 16380 16559 16651 16680 16742 16860 16950 17039 17101 17219 17312 17374 17492 17760 17820 18030 18089 18239",CFOP,B?_BBC8,Default Session,,,,U,"U B' R' U F' U U F U'",3419,3419,"D' L D' D' L' D' F D' F'",1923,601,1322,"B D B' B' D' B",1228,399,829,"F' D' F D' B D' B' D D F' D' F",3569,632,2937,"D' D' D' B D' B' D B D B'",1981,572,1409,41,"D R' D L R L' D D R' D' B' D B D R",3451,631,2820,Y,"L B D' B' D' B D B' L' B D B' D' B' L B L' D'",2668,809,1859
69756,2025-10-15T07:49:40.389Z,18390,B2 U' L2 B2 D L2 U2 R2 B2 L F2 D R2 B U2 R' U' L B2 U2,U U D' R' U B U F' R D' R' D R' D' R D D' R D' D' R' D B' D' B D' D' B D' B' D D F' D' F D' D' D' B D' D' B' D L' D' L D' L D L' D' R L' F L F' R' D' L' D' F' L D L' D' L' F L L D' L' D' L D L' D L D,78,4.241435562805872,"0 91 269 515 659 988 1589 1858 3121 3268 3420 3568 3661 3778 3868 5941 6838 6991 7138 7198 7288 7413 7746 7800 7889 9299 9388 9538 9778 9868 10079 10168 10233 10381 10528 11310 11850 11910 12058 12208 12240 12419 12598 13381 13529 13590 14100 14458 14579 14701 14818 14938 14939 15118 15209 15299 15389 16107 16709 16798 16950 17068 17159 17251 17340 17434 17488 17578 17637 17701 17761 17791 17910 18000 18118 18208 18268 18390",CFOP,B?_BBC8,Default Session,,,,U,"U U D' R' U B U F'",1858,1858,"R D' R' D R' D' R",2010,1263,747,"D D' R D' D' R' D B' D' B",4021,2073,1948,"D' D' B D' B' D D F' D' F",2639,1410,1229,"D' D' D' B D' D' B' D L' D' L",3062,782,2280,56,"D' L D L' D' R L' F L F' R'",1799,510,1289,F,"D' L' D' F' L D L' D' L' F L L D' L' D' L D L' D L D",3001,718,2283
69317,2025-10-14T14:57:49.003Z,16891,L2 U2 L2 D B2 L2 D R2 D' B2 R F2 R2 U' R2 B2 L B U F2,D' R F' U' F U' U' D R' D' R L D' L' D L' D' L D' D R' D R R D R' D' R' D R D' D' F D F' D F' D D F D' D' F' D F L D B D' B' B' L' B D B D' B' D B B U R' D R' D' R U' B' B' L' D L D' D',74,4.381031318453615,"0 120 273 512 871 1291 1443 1711 2431 2522 2702 3630 3693 4022 4110 4262 4351 4473 4980 5850 6000 6243 6392 6993 7142 7232 7831 8010 8072 8250 8342 8430 8792 8880 8942 9542 9661 9843 9901 9993 10082 10144 10171 10230 10293 11011 11192 11312 11372 11463 11552 11642 11731 11820 11941 12000 12063 12601 14163 14281 14342 14882 15032 15361 15450 15543 15664 16056 16172 16320 16532 16652 16833 16891",CFOP,B?_BBC8,Default Session,,,,U,"D' R F' U' F U' U'",1443,1443,"D R' D' R L D' L' D L' D' L",3030,268,2762,"D' D R' D R R D R'",2759,507,2252,"D' R' D R D' D' F D F'",1710,599,1111,"D F' D D F D' D' F' D F",1351,600,751,12,"L D B D' B' B' L' B D B D' B'",1770,718,1052,Ga,"D B B U R' D R' D' R U' B' B' L' D L D' D'",4828,538,4290
69315,2025-10-14T14:57:18.344Z,14339,D F2 U B2 U' R2 B2 L2 U L2 U2 B R2 D' R2 D2 F' R D2 F' L2 U2,R U' B R L F L D D L' D D L D' R' D' R R D R' L' D L D' L D L' D D D L' D L D' B D B' D D B' D' B D B' D' B D' F' R R B R B' R F B' D' B D' B' D' B R B' D' B D B R' B' B' D B D' D' B' D B D',79,5.5094497524234605,"0 120 303 420 753 929 1078 1679 2281 2459 2610 2698 2760 3059 3122 3209 3271 3839 3991 4110 5220 5340 5429 5640 5729 5848 5909 6209 7200 7261 7351 7529 7649 7739 8130 8250 8339 8819 8879 8971 9030 9149 9269 9357 9448 9507 10144 10378 10500 10589 10740 10891 11013 11069 11188 11938 12000 12089 12179 12239 12389 12479 12630 12725 12809 12899 12959 13049 13109 13141 13230 13259 13410 13498 13590 13950 14041 14250 14339",CFOP,B?_BBC8,Default Session,,,,U,"R U' B R L F L",1078,1078,"D D L' D D L D' R' D' R",2193,601,1592,"R D R' L' D L D' L D L'",2638,568,2070,"D D D L' D L D' B D B'",2430,300,2130,"D D B' D' B D B' D' B",1168,480,688,4,"D' F' R R B R B' R F",1681,637,1044,Nb,"B' D' B D' B' D' B R B' D' B D B R' B' B' D B D' D' B' D B D'",3151,750,2401
69312,2025-10-14T14:56:37.870Z,15747,D' B2 U' L2 D R2 D' B2 U2 B' L D B R2 F' R' D2 R2 U F,U R B R R U D' R D' D' L' L R' D D F D F' D' B' D' D' B D' L' D L D' R' R D B' D D B D' B' D B D L D L' D' L D L' B F' D R D' R' D' F D B' D' D' L' D' L B B U R' D R D' R U' B' B' D,74,4.699307804661205,"0 328 418 544 633 1172 1827 2042 2157 2251 2576 2818 3034 3241 3778 3932 4081 4143 4678 4857 5008 5071 5163 5457 5997 6121 6208 6542 6807 6961 7355 7647 8162 8223 8337 8428 8492 8523 8608 9961 10083 10227 10322 10408 10474 10592 10651 11668 11668 11848 11939 12031 12092 12183 12243 12357 12387 13082 13654 13982 14193 14398 14552 14613 14727 14848 15033 15152 15208 15297 15388 15512 15611 15747",CFOP,B?_BBC8,Default Session,,,,U,"U R B R R U",1172,1172,"D' R D' D' L' L R' D D F D F'",2971,655,2316,"D' B' D' D' B D' L' D L",2065,535,1530,"D' R' R D B' D D B D' B' D B",2400,334,2066,"D L D L' D' L D L'",2043,1353,690,31,"B F' D R D' R' D' F D B'",1736,1017,719,Gb,"D' D' L' D' L B B U R' D R D' R U' B' B' D",3360,695,2665
69310,2025-10-14T14:55:44.624Z,14913,B2 U2 F2 R2 D R2 U2 L2 U' B2 F R B R' U R' F2 D L2 B' U2,U' F D D L B' U L D' L' D' B' D' B D' F' D F D' D R' D R D' F D' F' D' D' L' D L D L' D L D' L' D L F' D F D D F' D' R' D R D F D R R U F' D F' D' F U' R' R' B' D B D',68,4.5597800576678065,"0 273 602 662 842 1411 1953 2343 2823 2915 3061 3455 3603 3663 4084 4232 4322 4382 4862 6272 6424 6540 6662 6725 7201 7232 7324 7863 7952 8524 8672 8792 8852 8942 9121 9303 9331 9393 9452 9543 10711 10802 10921 11195 11252 11462 11610 11823 11882 11913 12031 12180 12722 13412 13501 13591 13715 13832 13923 14042 14073 14192 14312 14401 14463 14641 14762 14913",CFOP,B?_BBC8,Default Session,,,,U,"U' F D D L B' U",1953,1953,"L D' L' D' B' D' B",1710,390,1320,"D' F' D F",719,421,298,"D' D R' D R D' F D' F'",2942,480,2462,"D' D' L' D L D L' D L D' L' D L",2219,539,1680,41,"F' D F D D F' D' R' D R D F",2637,1168,1469,Ga,"D R R U F' D F' D' F U' R' R' B' D B D'",2733,542,2191
69309,2025-10-14T14:55:14.833Z,23764,F2 D B2 U' F2 D F2 D B2 U B2 L F2 L2 D F L D' L2 B D2,F' U B' U L' U' D' B D' D' B' B' D' B D B D B' D' B D' D' B' D' D' L D' L' F L F' D' L B' L' U' D B B' D B U D' D' D' B' D B D' B D B' D' D' B D B' R' D' R D R' D D R D' R' D R B D R D' R' D R D' R' B' D' L' R L' R U' L' R L' R D' L' R F' F' R L' R L' B' B' L' R D',103,4.334287157044269,"0 125 394 574 871 1504 2044 2131 2282 2343 2402 2551 2731 2763 3243 3601 3782 3842 3932 3992 4231 4264 4321 4564 4623 5102 5164 5283 7473 7591 7683 8463 8972 9183 9272 10532 11642 12092 12392 12961 13292 14074 14763 14861 15181 15752 15905 16113 16413 16653 16802 16862 16981 17012 17102 17223 17283 18363 18512 18573 18661 18753 18935 18994 19113 19173 19262 19324 19413 20103 20346 20462 20494 20583 20673 20761 20821 20943 21182 21873 22293 22293 22383 22386 22564 22593 22593 22681 22684 22832 22921 22921 23104 23194 23223 23252 23314 23342 23464 23523 23581 23584 23764",CFOP,B?_BBC8,Default Session,,,,U,"F' U B' U L' U' D' B D' D' B' B' D' B D B D B' D' B D' D' B' D' D' L D' L' F L F' D' L B' L' U' D B B' D B U",14074,14074,"",0,0,0,"D' D' D' B' D B",2039,689,1350,"D' B D B' D' D' B D B'",1170,300,870,"R' D' R D R' D D R D' R' D R",2130,1080,1050,50,"B D R D' R' D R D' R' B'",1769,690,1079,Z,"D' L' R L' R U' L' R L' R D' L' R F' F' R L' R L' B' B' L' R D'",2582,691,1891
69307,2025-10-14T14:53:48.878Z,14578,D L2 F2 D B2 D' B2 D F2 U' L2 R B2 U' B2 D' B' R' U L2 B2 D2,L' L' F' U L' F' R' U F' U D' D' L' D' L D R' D R D' L D' L' D F' D F D' D' D' B D B' B' D' B D B D' B' D B D B' D B' L' B F' D' F D B' L B B D' B' D' B D B U B' D' B U' B' D' D' B',71,4.870352586088627,"0 59 181 450 660 989 1410 1560 2008 2218 2701 3749 4050 4200 4258 4559 4650 4738 4860 6002 6149 6270 6329 6508 6871 6928 7048 7409 7978 8039 8158 8308 8371 8458 8548 8640 9358 9449 9509 9628 9719 9778 9929 9990 11041 11250 11372 11460 11671 11760 11848 11971 12058 12149 12209 13021 13080 13169 13229 13320 13442 13560 13710 13739 13860 13949 14070 14278 14399 14428 14578",CFOP,B?_BBC8,Default Session,,,,U,"L' L' F' U L' F' R' U F' U",2218,2218,"D' D' L' D' L D R' D R",2642,483,2159,"D' L D' L' D F' D F",2188,1142,1046,"D' D' D' B D B' B' D' B",1592,361,1231,"D B D' B' D B D B'",1350,718,632,14,"D B' L' B F' D' F D B' L B",2219,1051,1168,Ra,"B D' B' D' B D B U B' D' B U' B' D' D' B'",2369,812,1557
